Requested_ID,Status,Category(Parent),Location(Sub-area),Type,Area,Block_or_TP_OP_FP,Landmark,Remark,"GMap_Center(lat,lng)",Hotspot_Pitch,Hotspot_Yaw,Hotspot_HFOV,Hotspot_VFOV,Hotspot_Distance,BoundingBox_Width_px,BoundingBox_Height_px,Hotspot_Image_Asset
s28,Found (no map hotspot),(not placed on any panorama),Ghod Dod Road,Residential,1100,"TP: - | OP: - | FP: -","Dena Appartment, near Gokulam Dairy","(Old Building),","21.17848, 72.81198",,,,,,,,(none - not placed on map)
s37,Found,Surat,Umra,Residential,2000,"TP: - | OP: - | FP: -","VrindavanBungalow","Gr+3 construction, raw bungalow,","21.1743, 72.78336",2.56,-4.1,0.1,0.09,50,54,50,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_0nc6a8j9.webp
s38,Found,Surat,Umra,Residential,500,"TP: - | OP: - | FP: -","VrindavanBungalow","","21.17366, 72.78363",2.42,-4.05,0.07,0.06,50,38,31,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_8dwff5zi.webp
s40,Found,Surat,Rundh,Freehold,800,"TP: - | OP: - | FP: -","b/h RR mall","","21.15326, 72.76865",-1.41,-6.68,0.06,0.06,50,32,30,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_kxa23kqe.webp
s49,Found,Surat,Sarsana,Freehold,14220,"TP: 90 | OP: - | FP: 196/197","","its OP, 2.5 wingha x2 plots","21.12405, 72.78337",-6.85,-4.11,0.2,0.2,50,103,104,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_fjdarw3j.webp
s51,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,2295,"TP: 81 | OP: - | FP: 94/B"," nr. lakhani farm","18 mtr Rd,","21.1135, 72.71203",,,,,,,,(none - not placed on map)
s52,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,4170,"TP: 81 | OP: - | FP: 94/B"," nr. lakhani farm","24 mtr Rd, ","21.11261, 72.71269",,,,,,,,(none - not placed on map)
s53,Found,Surat,Dumas,Freehold,4800,"TP: 82 | OP: - | FP: 24","nr. kohinoor project","18 mtr rd, ","21.11792, 72.71137",-8.42,-16.77,0.23,0.17,50,121,88,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_wg02vgog.webp
s59,Found,Surat,Dumas,Freehold,3071,"TP: 77 | OP: - | FP: 72A, 72B, 62","","18 mtr rd, 2 road corner","21.11499, 72.71937",-8.64,-15.26,0.13,0.18,50,71,96,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_0a6njdrl.webp
s60,Found,Surat,Dumas,Freehold,5500,"TP: 82 | OP: - | FP: -","","18 mtr rd, ","21.12354, 72.71582",-6.94,-15.93,0.11,0.16,50,56,85,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_2wfoynl3.webp
s61,Found,Surat,Dumas,Freehold,4646,"TP: 82 | OP: - | FP: -","Opp. Weekend address","24 mtr rd. 2 road corner","21.12618, 72.7214",-6.5,-14.89,0.18,0.17,50,94,90,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_56kzikwj.webp
s62,Found,Surat,Dumas,Residential,2285,"TP: 82 | OP: - | FP: -","VK Farm Plot, opp. Weekend address","2 road corner","21.1265, 72.72158",-6.42,-14.94,0.07,0.08,50,37,43,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_kqy4j6f1.webp
s63,Found,Surat,Dumas,Residential,2200,"TP: 82 | OP: - | FP: -","VK Farm Plot, opp. Weekend address","","21.12768, 72.72189",-6.21,-14.84,0.12,0.08,50,63,41,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_uhbcki14.webp
s66,Found (no map hotspot),(not placed on any panorama),Gavier,Freehold,1732,"TP: 32 | OP: - | FP: 92","B/h Sai Temple","18 mtr rd","21.12798, 72.73768",,,,,,,,(none - not placed on map)
s67,Found,Surat,Dumas,Freehold,4200,"TP: 82 | OP: - | FP: 19","nr. kohinoor project","18 mtr rd, ","21.11792, 72.71137",-8.05,-16.77,0.23,0.15,50,120,80,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_d46o8d67.webp
s69,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,4500,"TP: 77 | OP: - | FP: 126/1",Dumas,"","21.12556, 72.73093",,,,,,,,(none - not placed on map)
s77,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,1500,"TP: 32 | OP: - | FP: -","","18 mtr road","21.12391, 72.73399",,,,,,,,(none - not placed on map)
s78,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,2250,"TP: 32 | OP: - | FP: 84/85/86","B/h Sai temple","9 Mtr road","21.12711, 72.7363",,,,,,,,(none - not placed on map)
s81,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,1966,"TP: 77 | OP: - | FP: 104/B","B/h Habitat","18 mtr road","21.11494, 72.71807",,,,,,,,(none - not placed on map)
s87,Found (no map hotspot),(not placed on any panorama),Dumas,Freehold,2300,"TP: 32 | OP: 97 | FP: 97","Moje Gavier","18 mtr road, Plot validation","21.12864, 72.73785",,,,,,,,(none - not placed on map)
s94,Found,Surat,Dumas,Freehold,6200,"TP: 82 | OP: - | FP: 756/1","Moje Dumas, ","150 ft Main road","21.1226, 72.71063",-7.16,-16.8,0.25,0.11,50,130,58,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_4ojg4z8d.webp
s99,Found (no map hotspot),(not placed on any panorama),Vesu,Freehold,1500,"TP: - | OP: - | FP: -","Near Dream home","18 mtr road","21.14537, 72.7809",,,,,,,,(none - not placed on map)
s100,Found,Surat,Dumas,Freehold,"plot no. 1--1210 sqyd; plot no. 5--1260 sqyd; Plot no. 2/3/4/6/7/8--792 sqyd (for Bungalow); plot no. B 2925 sqyd (Freehold)","TP: 82 | OP: - | FP: -","Nr. Lakhani Farm lane","24 Mtr+18 mtrs 2 road corner","21.1127, 72.71154",-9.01,-16.7,0.15,0.13,50,78,69,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_j2hgxasb.webp
s103,Found,Surat,Dumas,Freehold,5000,"TP: 81 | OP: - | FP: 28","b/h Lakhani Farm","18 mtr road","21.11576, 72.71336",-8.45,-16.4,0.21,0.15,50,112,77,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_l2qhnrvm.webp
s106,Found,Surat,Dumas,Freehold,2260,"TP: 77 | OP: - | FP: 98/B","B/h Dumas Lake","18 Mtr Rd","21.11527, 72.71834",-8.53,-15.46,0.09,0.09,50,47,48,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_m53drqae.webp
s107,Found,Surat,Dumas,Freehold,1900,"TP: 77 | OP: - | FP: 94","B/h Dumas Lake","12 Mtr Rd","21.11566, 72.71891",-8.47,-15.42,0.18,0.07,50,94,38,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_rhkgxq6a.webp
s110,Found,Surat,Dumas,Freehold,15000,"TP: 82 | OP: - | FP: -","b/h Rajhans Belliza","18 Mtr Rd","21.12523, 72.71826",-6.64,-15.43,0.27,0.16,50,141,85,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_jrvu08qb.webp
s111,Found,Surat,Dumas,Freehold,3770,"TP: 82 | OP: - | FP: 19/B","b/h Rajhans Belliza","18 Mtr Rd","21.12476, 72.71719",-6.8,-15.7,0.1,0.15,50,55,77,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_zy188jcr.webp
s112,Found,Surat,Dumas,Freehold,2477,"TP: 32 | OP: - | FP: 134","DPS Main Road","24+18 mtr 2 road corner","21.12431, 72.73403",-6.88,-12.75,0.1,0.13,50,52,67,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_3qhampz8.webp
s117,Found,Surat,Dumas,Freehold,18000,"TP: - | OP: - | FP: -","2 road corner ","for rent, 24+24 mtr rd","21.10318, 72.72815",-10.76,-13.78,0.18,0.31,50,95,164,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_fa5aardz.webp
s120,Found,Surat,Gavier,Freehold,2806,"TP: 32 | OP: - | FP: 115/117/86","B/h Sai temple, 2 road corner ","18+12 mtr road","21.12744, 72.73628",-6.24,-12.34,0.07,0.07,50,34,39,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_xftvcc02.webp
s121,Found,Surat,Dumas,Residential,3030,"TP: 82 | OP: Plotted | FP: A9/A10",VK FARM,Gated Society,"21.13019, 72.72203",-5.73,-14.83,0.08,0.12,50,42,63,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_zgnbr706.webp
s122,Found,Surat,Vesu,Freehold,1500,"TP: - | OP: - | FP: -","Nr. White lotus School","18 mtr rd","21.14666, 72.78078",-2.65,-4.59,0.09,0.07,50,49,36,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_rcivmvct.webp
s124,Found,Surat,piplod,Residential,1024,"TP: - | OP: - | FP: -",Gunatita nagar,TM PAtel LAne,"21.1563, 72.77381",-0.85,-5.78,0.05,0.07,50,28,35,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_d11766pv.webp
s128,Found,Surat,Dumas,Freehold,12600,"TP: 81 | OP: - | FP: -","opp. Avadh Carolina","","21.1255, 72.72176",-6.54,-14.8,0.29,0.25,50,155,133,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_klay31aj.webp
s131,Found,Surat,Gavier,Freehold,1785,"TP: 32 | OP: - | FP: -","b/h sai temple, 2 road  ","For RENT","21.12798, 72.73772",-6.16,-12.13,0.13,0.08,50,67,42,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_fiyl2vzl.webp
s133,Found,Surat,Vesu,Freehold,574,"TP: - | OP: - | FP: -","Opp. Cremona","","21.14022, 72.78488",-3.86,-3.84,0.05,0.05,50,29,25,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_0fhsdanp.webp
s137,NOT FOUND - does not exist in dataset,,,,,,,,,,,,,,,,
s152,NOT FOUND - does not exist in dataset,,,,,,,,,,,,,,,,
w20,Found,Navsari,"Khadsupa, Navsari",Agriculture,11,"Block: -","Nr. Ecolates (I) pvt Ltd","","20.90771, 73.01541",-3.72,1.59,0.39,0.57,50,154,227,media/panorama_E8F8C261_F5E0_8656_41E2_CF3EF4CE1F8E_HS_4lvucv5v.webp
w27,Found,"NH 48 , Palsana","Jol, Mahuva",Freehold,150,"Block: -"," near water world water park","N.A. Plan Pass, ","21.02532, 73.12265",-4.25,23.71,0.99,1.21,50,728,888,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_q1h70t57.webp
w28,Found,"NH 48 , Palsana",Makhinga,Freehold,12.5,"Block: -","","best for chemichal factory","21.06255, 72.96942",-0.72,4.94,0.19,0.13,50,138,95,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_oyp15juj.webp
w31,Found,"NH 48 , Palsana",Italva,Freehold,32,"Block: -","","Industrial N.A., CEPT facility available","21.07756, 72.96783",3.07,3.84,0.33,0.52,50,246,380,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_awyy77kq.webp
w43,Found,"NH 48 , Palsana",Vanesa,Freehold,3.5,"Block: -","Palsana Bardoli Main Rd touch ","Free ZONE","21.10219, 73.06369",6.5,15.99,0.28,0.17,50,206,125,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_9xni77x0.webp
w52,Found,"NH 48 , Palsana",Sandalpore,Freehold,13,"Block: -","Canal road Touch","Free ZONE","21.01972, 72.97891",-4.78,5.34,0.16,0.35,50,115,259,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_t5zogk58.webp
w54,Found,"NH 48 , Palsana",Sandalpore,Freehold,1.5,"Block: -","Canal road Touch","Free ZONE","21.02028, 72.98616",-4.59,6.24,0.1,0.16,50,76,118,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_hohn6f0c.webp
w68,Found,"NH 48 , Palsana",Makhinga,Freehold,12.5,"Block: -","","best for chemichal factory","21.06255, 72.96942",1.08,4.12,0.23,0.23,50,166,172,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_lys6ajyc.webp
w73,Found,"NH 48 , Palsana",Ubhrat,Freehold,7,"Block: -","","N.A.","21.01032, 72.76444",-5.95,-21.8,0.26,0.22,50,189,164,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_qfp4azwt.webp
w82,Found,"NH 48 , Palsana",Ambheti,Agriculture,38,"Block: -","1602 nos Amba wadi","Free ZONE","21.02332, 73.01898",-4.44,10.55,0.44,0.68,50,322,502,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_9glegysk.webp
w83,Found,"NH 48 , Palsana","Arak Sisodra",Freehold,10,"Block: -","Nr. reliance ware house, canal road","Free ZONE","21.04082, 72.97851",-2.07,5.29,0.2,0.6,50,147,445,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_omxq2wqz.webp
w113,Found,"NH 48 , Palsana",Asunder,Freehold,11,"Block: 283/291/292","Surat Navsari Main Road","Free ZONE","21.01276, 72.91609",-5.5,-2.55,0.38,0.37,50,281,272,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_wbros3gc.webp
w129,Found,"NH 48 , Palsana",Telada,Freehold,"20 Guntha","Block: -","Dholsa pipla to Bardoli road","N.A. ","20.99379, 72.98233",-8.22,5.71,0.23,0.12,50,172,89,media/panorama_E8DBBFB8_F5E0_BE37_41B9_93EA6D3105CE_HS_9oqu0422.webp
w137,NOT FOUND - does not exist in dataset,,,,,,,,,,,,,,,,
w139,NOT FOUND - does not exist in dataset,,,,,,,,,,,,,,,,
w154,NOT FOUND - does not exist in dataset,,,,,,,,,,,,,,,,
